#% order/1 phi_1_deg/1 phi_1_min/(1/60) phi_2_deg/1 phi_2_min/(1/60) n2/1
1   15  22  15  22  6
1   16  23  16  29  5
1   18  33  18  32  4
1   20  27  20  22  2
1   20  51  20  48  2
1   23  44  23  42  2
1   24  57  24  56  2
1   25  24  25  22  3
2   32  20  32  22  6
2   34  28  34  28  5
2   34  42  34  43  2
2   39  19  39  19  4
2   53  46  53  46  2
